Material,Eg_eV,Density_g_cm3,DOS_at_Ef,Conductivity_Proxy,Log_Sigma,Regime
NdCuSe2,0.7529,6.752868473213077,0.0,3.198286706887573e-06,-5.495069028233891,Semiconductor
LaCuS2,1.234599999999999,5.353256881280149,0.0,2.2784119771450248e-10,-9.484336472315716,Semiconductor
SmCuS2,1.1678,5.970398891720823,0.0,9.250308794928228e-10,-8.989263051104489,Semiconductor
GdCuS2,0.9113000000000001,6.249125134903366,1.1353,1.3824325572110287e-07,-6.859042008004802,Semiconductor
GdCuSe2,0.6894,7.322698829787978,0.0,1.1844536265314607e-05,-4.926478271403202,Semiconductor
TbCuS2,1.1832,6.396229210596204,0.82,7.357200425831871e-10,-9.077939182278316,Semiconductor
CeCuS2,0.0,5.51619991556776,0.3712,2.0476134086587523,0.3112479648569479,Metal
SrCuF4,0.8036000000000001,4.443780052704627,2.4971,7.893824294948676e-07,-6.1026575310874,Semiconductor
CaCuF4,0.7392000000000001,3.984098938317803,0.0,2.459478635927873e-06,-5.609139287923263,Semiconductor
KCuF3,0.0,4.008852461531502,2.3529,9.432428956737471,0.9746235428664437,Metal
RbCuF3,0.0,4.8308806611218085,3.3074,15.977654698594268,1.2035130311627953,Metal
CdCuF4,0.7327,5.703995423592497,0.0,3.99295052202592e-06,-5.39869519486495,Semiconductor
Li2CuSn2,0.0,5.568732522318411,1.4333,7.981664324238979,0.9020934592093748,Metal
Cu(PO3)2,0.0,3.449100203998503,19.9587,68.83955624154493,1.8378380620851265,Metal
BaCuN,0.0,5.684816048001979,0.0,0.0,-10.0,Metal
CuSe2O5,0.0,4.479186322604868,0.5398,2.4178647769421073,0.38343200858984905,Metal
LuCuS2,1.461999999999999,6.521776914959418,0.0,3.413158152267635e-12,-9.9854241986758,Semiconductor
Y2Ga3Cu,0.0,6.316414596769003,1.4305,9.03563108067806,0.9559584906355382,Metal
Tm2Ga3Cu,0.0,8.97204428219803,1.1231,10.076502933336608,1.0033098356586803,Metal
Sm2Ga3Cu,0.0,7.6544222724434015,1.1886,9.098046313026227,0.9589481432527808,Metal
Lu2Ga3Cu,0.0,9.328636591322004,1.1342,10.580539621877419,1.0245078178759908,Metal
Ho2Ga3Cu,0.0,8.639093087533434,1.131,9.770814282000314,0.9899307585485256,Metal
Dy2Ga3Cu,0.0,8.465761351736115,1.1474,9.713614574982017,0.9873808671794404,Metal
Er2Ga3Cu,0.0,8.830465412329717,1.1493,10.148853898390543,1.0064170005088187,Metal
DyCuSe2,1.066799999999999,6.941485983159829,0.0,7.58636310121876e-09,-8.114279103461191,Semiconductor
ScCuS2,0.8709000000000001,3.9516867549820693,0.0,1.9097589758517996e-07,-6.718794091625887,Semiconductor
Hf2Al3Cu,0.0,8.492922663029153,5.3677,45.58746097834159,1.658845404578383,Metal
PrCuO2,2.3609,5.571204320101684,0.0,8.198374721185326e-20,-9.999999999643949,Semiconductor
SmCuO2,2.5136000000000003,6.187179739135558,0.2002,4.7484146646431435e-21,-9.999999999979378,Semiconductor
CuRhO2,0.6553000000000001,7.024418962510328,0.0,2.1973885024034836e-05,-4.658091175805544,Semiconductor
LaCuO2,2.521599999999999,5.396420033751985,0.0,3.547802292203341e-21,-9.999999999984592,Semiconductor
NdCuO2,2.411499999999999,5.785143714607559,0.0,3.199179857981895e-20,-9.99999999986106,Semiconductor
FeCuO2,0.8043999999999991,6.216869178480445,0.0,1.0873926790612587e-06,-5.963573658009187,Semiconductor
CrCuO2,1.5391,5.600365259676549,0.0,6.59698093783815e-13,-9.99714437650594,Semiconductor
LaCuO3,0.0,7.264223278768729,2.2134,16.078631805226706,1.2062490901414462,Metal
